"","Transbasin_Diversion_Name","Source_Streams","Source_basin","Destination_basin","DWR_Structure_IDs"
"1","Wilson Supply Ditch","Sand Creek, Deadman Creek","North Platte","South Platte","0304604, 7600600"
"2","Deadman Ditch","Deadman Creek","North Platte","South Platte","7600572"
"3","Bob Creek Ditch","Bob Creek","North Platte","South Platte","4800573"
"4","Columbine Ditch-South Platte","Columbine Creek?","North Platte","South Platte","0304607"
"5","Laramie Poudre Tunnel","West Branch Laramie River","North Platte","South Platte","4800576, 0304600"
"6","Skyline Ditch","West Branch Laramie River","North Platte","South Platte","4800577"
"7","Cameron Pass Ditch","Michigan River","North Platte","South Platte","0304602, 4704602"
"8","Michigan Ditch","Michigan River","North Platte","South Platte","4704603, 0304603"
"9","Grand River Ditch","Colorado River","Colorado","South Platte","5104601, 0304601, 5101213, 5101212"
"10","Colorado-Big Thompson Project","Colorado River","Colorado","South Platte","5104634, 0404634"
"11","Moffat Collection System Project","Allen Creek, Bobtail Creek, Buck Creek, Cooper Creek, Cabin Creek, Fraser River, Hamilton Creek, Hurd Creek, Jim Creek, Jones Creek, Little Cabin Creek, Little Vasquez Creek, McQueary Creek, Meadow Creek, Middle Fork Ranch Creek, Middle Fork Williams Fork, North Fork Ranch Creek, South Fork Ranch Creek, South Fork Williams Fork, Saint Louis Creek, Steelman Creek, Trail Creek,  Vasquez Creek, West Saint Louis Creek","Colorado","South Platte","5104655, 5101269, 5101309, 5101310"
"12","Berthoud Pass Ditch","First Creek, Second Creek, Current Creek","Colorado","South Platte","5104625"
"13","Straight Creek Tunnel","Straight Creek","Colorado","South Platte","3600829, 0704682, 3604658, 0704658"
"14","Vidler Collection System","Peru Creek","Colorado","South Platte","3604626"
"15","Roberts Tunnel Collection System","Blue River","Colorado","South Platte","3604684, 0800653"
"16","Boreas Pass Ditch","Indiana Creek","Colorado","South Platte","0804611, 3604685"
"17","Continental-Hoosier Diversion System","Bemrose Creek, Crystal Creek, East Hoosier Creek, Hoosier Creek,  McCullough Gulch Creek, Monte Cristo Creek, Spruce Creek","Colorado","South Platte","3604683, 3604699, 3604684, 3604683, 3604688"
"18","Columbine Ditch-Arkansas","East Fork Eagle River","Colorado","Arkansas","3704641"
"19","Ewing Ditch","Piney Creek","Colorado","Arkansas","3704624"
"20","Warren E. Wurts Ditch","Bennett Creek, South Fork Bennett Creek, Mitchell Creek, South Fork Mitchell Creek","Colorado","Arkansas","3704648"
"21","Homestake Tunnel","Homestake Creek, Fancy Creek, French Creek, East Fork Homestake Creek, Missouri Creek, Sopris Creek","Colorado","Arkansas","3704614, 3704643"
"22","Charles H. Boustead Tunnel","Fryingpan River, Carter Creek, Chapman Gulch, Cunningham Creek, North Fork Fryingpan River, South Fork Fryingpan River, Granite Creek, Ivanhoe Creek, Lilly Pad Creek, Mormon Creek, Sawyer Creek, Hunter Creek, Midway Creek, No Name Creek\","Colorado","Arkansas","3804625"
"23","Busk-Ivanhoe Tunnel","Fryingpan River","Colorado","Arkansas","1104612, 3804613"
"24","Twin Lakes Tunnel","Roaring Fork River, Brooklyn Gulch, Grizzly Creek, Lincoln Creek, Lost Man Creek, New York Creek, Tabor Creek, Ivanhoe Creek, Lyle Creek","Colorado","Arkansas",""
"25","Larkspur Ditch","Marshall Creek","Gunnison","Arkansas",""
"26","Hudson Branch Ditch","Medano Creek","Rio Grande","Arkansas",""
"27","Medano Pass Ditch","Medano Creek","Rio Grande","Arkansas",""
"28","Tarbell Ditch","Cochetopa Creek","Gunnison","Rio Grande",""
"29","Tabor Ditch","Cebolla Creek","Gunnison","Rio Grande",""
"30","Weminuche Pass Ditch","Pine River","Southwest","Rio Grande","3104637"
"31","Pine River-Weminuche Pass Ditch","Pine River","Southwest","Rio Grande","3104638"
"32","Williams Creek-Squaw Pass Ditch","Williams Creek","Southwest","Rio Grande","7804672"
"33","Don La Font Ditch Nos. 1 and 2","East Fork Piedra River","Southwest","Rio Grande","7804670, 7804671"
"34","Treasure Pass Ditch","West Fork San Juan River","Southwest","Rio Grande","2904669"
"35","San Juan-Chama Project","Rio Blanco","Southwest","Rio Grande","2904667, 7704636, 7704635"
"36","Red Mountain Ditch","Mineral Creek","Southwest","Gunnison","3004662"
"37","Carbon Lake Ditch","Mineral Creek","Southwest","Gunnison","3004660"
"38","Mineral Point Ditch","Burrows Creek","Southwest","Gunnison","3004661"
"39","Leon Tunnel","Middle Fork Leon Creek","Colorado","Gunnison","7204715"
"40","Divide Highline Feeder Ditch","Clear Fork","Gunnison","Colorado",""
"41","Sarvis Ditch","Service Creek","Yampa","Colorado","5804684"
"42","Stillwater Ditch","Bear River","Yampa","Colorado","5804686"
"43","Dome Ditch","Dome Creek","Yampa","Colorado","5804630"
"44","Redlands Power Canal","Gunnison River","Gunnison","Colorado","4200541"
